,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Clusters,InProbability,OutProbability,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating,TrueDiff,ELODiff,RatingError,HomeDiff,AwayDiff,TotalDiff,ClusterHome,ClusterAway,Init_Rounds,Split_Rounds
27872654,27872654,71,61,0,133,draw,0.39-0.29-0.32,0.35-0.29-0.36,15,10,1.0,1.0,0.12557858995440024,1042.2265785744507,1064.2915151920354,962.3562771725266,1015.0017293567117,-22.064936617584635,-52.64545218418516,30.580515566600525,79.87030140192417,49.28978583532364,129.1600872372478,1,1,79,198
27873102,27873102,51,71,0,138,home,0.25-0.28-0.47,0.38-0.29-0.33,15,10,1.0,1.0,0.24686614103391435,899.7143562861546,1032.2498357381794,953.3528220821527,985.2344710849648,-132.5354794520248,-31.881649002812082,100.6538304492127,-53.63846579599806,47.01536465321465,100.6538304492127,1,1,79,198
27873122,27873122,41,81,0,138,draw,0.53-0.26-0.21,0.54-0.26-0.21,15,10,1.0,1.0,0.16608295990275712,930.6049062356373,860.5824029916784,949.226741009202,873.4344449230548,70.02250324395891,75.79229608614719,5.769792842188281,-18.62183477356473,-12.852041931376448,31.473876704941176,1,1,79,198
27873142,27873142,31,91,0,138,draw,0.60-0.23-0.16,0.58-0.24-0.18,15,10,1.0,1.0,0.1841693200290454,1171.7129515063316,1051.0085313933466,1189.2193173367841,1085.511842828026,120.70442011298496,103.7074745087582,16.996945604226767,-17.506365830452523,-34.50331143467929,52.00967726513181,1,1,79,198
27873601,27873601,91,21,0,143,home,0.31-0.29-0.40,0.32-0.29-0.39,15,10,1.0,1.0,0.3103560683571531,1060.286010919361,1141.051057513469,1076.0032979013063,1153.7080381915594,-80.76504659410807,-77.70474029025308,3.0603063038549863,-15.717286981945335,-12.656980678090349,28.374267660035684,1,1,79,198
27873621,27873621,81,31,0,143,home,0.10-0.17-0.72,0.13-0.20-0.68,15,10,1.0,1.0,0.6100852547882204,865.2104464952005,1176.0151048817745,898.0536172584759,1170.484759281785,-310.80465838657403,-272.4311420233091,38.37351636326491,-32.84317076327545,5.5303455999894595,38.37351636326491,1,1,79,198
27873641,27873641,71,41,0,143,away,0.58-0.24-0.18,0.48-0.28-0.25,15,10,1.0,1.0,0.3947035959437045,1046.348022634088,939.3843416295032,995.8229634613755,962.2090693419507,106.96368100458483,33.6138941194248,73.34978688516003,50.52505917271253,-22.824727712447498,73.34978688516003,1,1,79,198
27873654,27873654,61,51,0,143,away,0.67-0.20-0.13,0.52-0.26-0.22,15,10,1.0,1.0,0.4407311229898527,1078.533851633895,909.0895187132891,1013.4998112768267,950.53227698635,169.44433292060592,62.96753429047669,106.47679863012922,65.0340403570683,-41.44275827306092,106.47679863012922,1,1,79,198
27874082,27874082,41,61,0,148,away,0.23-0.27-0.51,0.41-0.29-0.31,15,10,1.0,1.0,0.3241638846972725,931.9560147368956,1087.47483493759,990.4907477711546,1003.3403334718178,-155.51882020069445,-12.84958570066317,142.66923450003128,-58.534733034259034,84.13450146577225,142.66923450003128,1,1,79,198
27874102,27874102,31,71,0,148,home,0.58-0.24-0.18,0.65-0.21-0.14,15,10,1.0,1.0,0.07083285321324066,1151.4451410988172,1046.6911620085816,1159.7407343335346,1006.3007677074366,104.75397909023559,153.439966626098,48.68598753586241,-8.295593234717444,40.390394301144966,48.68598753586241,1,1,79,198
