,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Variance,Density,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating
5619,5619,0,76,0,123,home,0.74-0.17-0.10,0.59-0.24-0.17,15,0,0.4526130653266332,0.0980989837520966,916.1767433576654,695.3069621490814,957.015638795865,845.1011843381691
6266,6266,0,62,0,137,away,0.15-0.22-0.63,0.25-0.27-0.48,15,0,0.4526130653266332,0.1651156256871408,960.1268469955203,1196.7078885493015,955.923446847414,1092.912975013386
6515,6515,0,56,0,143,draw,0.38-0.29-0.33,0.43-0.28-0.28,15,0,0.4526130653266332,0.1335060247087691,965.2000395075336,997.6736720096503,945.9598064363678,941.7198912907733
6619,6619,0,54,0,145,draw,0.38-0.29-0.33,0.26-0.28-0.46,15,0,0.4526130653266332,0.13959318450609495,978.7386416302584,1010.0659794713957,944.176157732965,1066.6028833995424
6706,6706,0,52,0,147,home,0.30-0.29-0.42,0.30-0.29-0.42,15,0,0.4526130653266332,0.33350607470297017,974.0284353529852,1066.8505369999175,945.0874868677538,1038.549479113944
6804,6804,0,50,0,149,away,0.23-0.27-0.51,0.30-0.29-0.42,15,0,0.4526130653266332,0.2143520200702813,978.2181450524913,1132.1810901347665,963.3606131033293,1057.0965924566483
6894,6894,0,48,0,151,away,0.67-0.20-0.13,0.52-0.26-0.22,15,0,0.4526130653266332,0.44415195197846935,979.3225775202293,813.0253716461099,956.1569736610678,891.021815845119
7069,7069,0,44,0,155,home,0.44-0.28-0.28,0.39-0.29-0.32,15,0,0.4526130653266332,0.2338582450902687,977.382116101768,968.6985777384191,957.2206764890187,979.0728419186113
7508,7508,0,34,0,165,home,0.37-0.29-0.34,0.34-0.29-0.37,15,0,0.4526130653266332,0.28888513618720224,969.6931229884807,1011.9374259709622,970.6815764681592,1033.3779474469575
7689,7689,0,30,0,169,home,0.51-0.26-0.22,0.49-0.27-0.24,15,0,0.4526130653266332,0.15734074890903058,980.5851706536096,921.334266626219,986.4119769964856,941.9151825059587
7791,7791,0,28,0,171,home,0.69-0.19-0.12,0.60-0.23-0.17,15,0,0.4526130653266332,0.09504463290986973,980.203037029798,799.7028271008772,991.3339066269443,875.2361604077812
8491,8491,0,12,0,187,home,0.41-0.29-0.30,0.45-0.28-0.27,15,0,0.4526130653266332,0.19013140404306686,1008.8700835157753,1017.2535055887654,994.9995646506987,980.798758420098
8579,8579,0,10,0,189,away,0.22-0.27-0.51,0.33-0.29-0.38,15,0,0.4526130653266332,0.2510593273344394,1008.291698443844,1165.343795129911,1000.5144827695732,1065.4550643398777
8667,8667,0,8,0,191,home,0.55-0.25-0.20,0.49-0.27-0.24,15,0,0.4526130653266332,0.15649339721189345,1008.8687214082203,923.1677045596547,987.4425225184184,942.113618017014
8914,8914,0,2,0,197,home,0.58-0.24-0.18,0.52-0.26-0.22,15,0,0.4526130653266332,0.13904226023866495,1002.489478745528,900.8633933999347,987.4004655284274,924.2509919433933
9012,9012,0,100,0,199,away,0.24-0.27-0.49,0.24-0.27-0.49,15,0,0.4526130653266332,0.16121434737851872,1003.8553352473746,1147.389317984543,981.8398510163228,1122.5681509883107
9630,9630,0,114,0,213,away,0.53-0.26-0.21,0.54-0.26-0.21,15,0,0.4526130653266332,0.4576571665963809,1010.5696498946,941.1329668927627,983.5101271466493,909.8256086385512
9814,9814,0,118,0,217,home,0.35-0.29-0.35,0.28-0.28-0.43,15,0,0.4526130653266332,0.34963262823689545,1015.3121498554956,1064.969461922538,983.8296383192547,1088.0546183911304
10486,10486,0,132,0,231,away,0.15-0.22-0.62,0.29-0.29-0.42,15,0,0.4526130653266332,0.20824800315152925,995.0229278386548,1229.9288312666554,1008.2131920357973,1106.9805386651885
10933,10933,0,142,0,241,home,0.59-0.24-0.18,0.50-0.27-0.23,15,0,0.4526130653266332,0.15029736567773735,985.2392582113147,877.7571825254922,1007.5718419503964,956.069693005336
11019,11019,0,144,0,243,draw,0.37-0.29-0.34,0.46-0.28-0.26,15,0,0.4526130653266332,0.14093077890872194,985.6264327959344,1022.4401658717227,1006.5185077384544,980.6379772033832
11106,11106,0,146,0,245,away,0.36-0.29-0.35,0.34-0.29-0.37,15,0,0.4526130653266332,0.2523189557777824,986.463545674025,1035.0007015973551,1011.8043867953791,1075.795334687085
11187,11187,0,148,0,247,draw,0.67-0.20-0.13,0.72-0.18-0.11,15,0,0.4526130653266332,0.2629984873015089,994.0737240315027,824.1050072277478,1006.2383365219723,800.9192693347047
11276,11276,0,150,0,249,draw,0.55-0.25-0.20,0.47-0.28-0.26,15,0,0.4526130653266332,0.14150193570376599,990.5183781624708,909.4006575116628,1001.1703596696657,973.8576943589512
11377,11377,0,152,0,251,draw,0.14-0.21-0.65,0.18-0.24-0.58,15,0,0.4526130653266332,0.18655513306790814,988.5340882145366,1244.4278015791406,998.9247894439368,1206.069186403784
11654,11654,0,158,0,257,draw,0.34-0.29-0.37,0.37-0.29-0.34,15,0,0.4526130653266332,0.1260478298143453,976.8554621120744,1039.597407476956,1007.4472139982817,1044.0781659709635
11749,11749,0,160,0,259,home,0.51-0.27-0.23,0.58-0.24-0.18,15,0,0.4526130653266332,0.10646793647184713,987.2751763192452,931.7904260272827,997.268472629601,896.3503959579845
12028,12028,0,166,0,265,draw,0.44-0.28-0.28,0.54-0.26-0.21,15,0,0.4526130653266332,0.16534756767438258,1004.8319354130264,994.2559006409807,1009.4696968710373,934.90240585782
12127,12127,0,168,0,267,draw,0.45-0.28-0.27,0.45-0.28-0.27,15,0,0.4526130653266332,0.13807198697746073,1000.4067829625787,986.3923268176227,995.073064900184,976.7667169546719
12305,12305,0,172,0,271,home,0.30-0.29-0.41,0.38-0.29-0.33,15,0,0.4526130653266332,0.2422274325397783,1006.113778656181,1098.2510118192342,993.0058271254578,1021.3414977378008
12500,12500,0,176,0,275,draw,0.51-0.27-0.22,0.58-0.24-0.18,15,0,0.4526130653266332,0.1858962491919863,1005.70066222151,949.3808742274524,1007.0933662128896,900.8936381310962
12602,12602,0,178,0,277,draw,0.32-0.29-0.39,0.30-0.29-0.41,15,0,0.4526130653266332,0.1295515488329977,1011.8026436261213,1088.2254882202917,1010.5694929804172,1098.8955887283116
12701,12701,0,180,0,279,home,0.51-0.27-0.23,0.38-0.29-0.33,15,0,0.4526130653266332,0.24577048602669616,1009.5383615989298,955.2938131097467,1005.7114311421167,1036.7584717287586
13081,13081,0,188,0,287,draw,0.25-0.27-0.48,0.26-0.28-0.47,15,0,0.4526130653266332,0.1412528735149534,1005.7043919090738,1140.450230391206,1011.3899780872416,1138.0811026105882
13433,13433,0,196,0,295,away,0.10-0.16-0.74,0.17-0.24-0.59,15,0,0.4526130653266332,0.09818332708224213,997.474904515319,1321.0516403205902,1013.4238050605212,1225.2241027261666
13686,13686,0,97,0,301,away,0.19-0.25-0.57,0.34-0.29-0.37,15,0,0.4526130653266332,0.2596919733345169,994.3774596269606,1188.4887724910518,1018.742706931478,1077.2193342579546
14140,14140,0,87,0,311,home,0.44-0.28-0.27,0.49-0.27-0.24,15,0,0.4526130653266332,0.1552335071513538,1000.1705222445182,988.0524604983293,996.3746730928883,949.8032633031081
